date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:16	39475/39475	---M-Z	200	added ('OK')	text/html	etag:%2222722-9a33-5602c94dc3c0a%22	http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html	C:/Users/SantoshKushwaha/Desktop/HostelDashboard/192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html	(from )
20:26:21	238/238	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Apr%202018%2014:56:39%20GMT	http://192.241.236.31/robots.txt		(from )
20:26:22	119286/119286	---M-Z	200	added ('OK')	text/css	etag:%2222794-1d1f6-5600d1755420a%22	http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/bootstrap.min.css	C:/Users/SantoshKushwaha/Desktop/HostelDashboard/192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/bootstrap.min.css	(from http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html)
20:26:23	27476/27476	---M-Z	200	added ('OK')	text/css	etag:%2222795-6b54-5600d1752928a%22	http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/font-awesome.min.css	C:/Users/SantoshKushwaha/Desktop/HostelDashboard/192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/font-awesome.min.css	(from http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html)
20:26:26	158211/158211	---M-Z	200	added ('OK')	text/css	etag:%2222798-26a03-5600d1771170a%22	http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/smartadmin-production-plugins.min.css	C:/Users/SantoshKushwaha/Desktop/HostelDashboard/192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/smartadmin-production-plugins.min.css	(from http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html)
20:26:26	281608/281608	---M-Z	200	added ('OK')	text/css	etag:%2222799-44c08-5600d1772dc2b%22	http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/smartadmin-production.min.css	C:/Users/SantoshKushwaha/Desktop/HostelDashboard/192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/smartadmin-production.min.css	(from http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html)
20:26:27	102789/102789	---M-Z	200	added ('OK')	text/css	etag:%222279b-19185-5600d17802a6a%22	http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/smartadmin-skins.min.css	C:/Users/SantoshKushwaha/Desktop/HostelDashboard/192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/smartadmin-skins.min.css	(from http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html)
20:26:28	44187/44187	---M-Z	200	added ('OK')	text/css	etag:%222279a-ac9b-5600d1779258a%22	http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/smartadmin-rtl.min.css	C:/Users/SantoshKushwaha/Desktop/HostelDashboard/192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/smartadmin-rtl.min.css	(from http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html)
20:26:28	2647/2647	---M-Z	200	added ('OK')	text/css	etag:%2222793-a57-5600d1749d82b%22	http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/demo.min.css	C:/Users/SantoshKushwaha/Desktop/HostelDashboard/192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/css/demo.min.css	(from http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html)
20:26:29	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22623f0-47e-5600d19dab46b%22	http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/img/favicon/favicon.ico	C:/Users/SantoshKushwaha/Desktop/HostelDashboard/192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/img/favicon/favicon.ico	(from http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html)
20:26:29	1475/1475	---M--	200	added ('OK')	image/png	etag:%2242abf-5c3-5600d1893dc8a%22	http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/img/logo.png	C:/Users/SantoshKushwaha/Desktop/HostelDashboard/192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/img/logo.png	(from http://192.241.236.31/themes/preview/smartadmin/1.9.x/ajax/index.html)
